match_id,field,processed_value,candidate_value,is_same
WC2026-C29,match_id,WC2026-C29,WC2026-C29,true
WC2026-C29,date,2026-06-19,2026-06-19,true
WC2026-C29,home,Brazil,Brazil,true
WC2026-C29,away,Haiti,Haiti,true
WC2026-C29,home_shape,4-2-3-1,4-2-3-1,true
WC2026-C29,away_shape,5-4-1,5-4-1,true
WC2026-C29,home_in_possession_shape,2-3-5,2-3-5,true
WC2026-C29,away_in_possession_shape,5-4-1,5-4-1,true
WC2026-C29,home_press_shape,4-2-3-1,4-2-3-1,true
WC2026-C29,away_press_shape,5-4-1,5-4-1,true
WC2026-C29,home_low_block_shape,4-4-2,4-4-2,true
WC2026-C29,away_low_block_shape,5-4-1,5-4-1,true
WC2026-C29,home_key_zones,左路Vinicius内收+Raphinha宽度,左路Vinicius内收+Raphinha宽度,true
WC2026-C29,away_key_zones,五后卫低位压缩中路,五后卫低位压缩中路,true
WC2026-C29,source,yahoo_preview+fotmob_r1,yahoo_preview+fotmob_r1,true
WC2026-C29,source_url,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,https://sports.yahoo.com/articles/brazil-vs-haiti-predictions-picks-184300594.html,true
WC2026-C29,source_title,Brazil Haiti tactical preview,Brazil Haiti tactical preview,true
WC2026-C29,confidence,0.72,0.72,true
WC2026-C29,is_estimated,true,true,true
WC2026-C29,team_profile_degraded,false,false,true
WC2026-C29,__row_hash__,254a7f4df0296dd13599d6633aaa05d2127f8933dac6d88ceb3bdb35d57bfa6a,254a7f4df0296dd13599d6633aaa05d2127f8933dac6d88ceb3bdb35d57bfa6a,true
WC2026-C30,match_id,WC2026-C30,WC2026-C30,true
WC2026-C30,date,2026-06-19,2026-06-19,true
WC2026-C30,home,Scotland,Scotland,true
WC2026-C30,away,Morocco,Morocco,true
WC2026-C30,home_shape,4-4-2,4-4-2,true
WC2026-C30,away_shape,4-2-3-1,4-2-3-1,true
WC2026-C30,home_in_possession_shape,4-2-4,4-2-4,true
WC2026-C30,away_in_possession_shape,2-3-5,2-3-5,true
WC2026-C30,home_press_shape,4-4-2,4-4-2,true
WC2026-C30,away_press_shape,4-1-4-1,4-1-4-1,true
WC2026-C30,home_low_block_shape,5-4-1,5-4-1,true
