match_id,scenario_id,field,processed_value,candidate_value,is_same
WC2026-C29,S01_favorite_early_break_open,match_id,WC2026-C29,WC2026-C29,true
WC2026-C29,S01_favorite_early_break_open,home,Brazil,Brazil,true
WC2026-C29,S01_favorite_early_break_open,away,Haiti,Haiti,true
WC2026-C29,S01_favorite_early_break_open,scenario_id,S01_favorite_early_break_open,S01_favorite_early_break_open,true
WC2026-C29,S01_favorite_early_break_open,scenario_name,强队早球后比赛被打开,强队早球后比赛被打开,true
WC2026-C29,S01_favorite_early_break_open,raw_base_weight,0.1,0.1,true
WC2026-C29,S01_favorite_early_break_open,raw_tactical_delta,0.3691,0.3691,true
WC2026-C29,S01_favorite_early_break_open,raw_player_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,raw_source_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,raw_probability_context_delta,0.0415,0.0415,true
WC2026-C29,S01_favorite_early_break_open,raw_total_score,0.5105,0.5105,true
WC2026-C29,S01_favorite_early_break_open,normalized_weight,0.182266,0.182266,true
WC2026-C29,S01_favorite_early_break_open,base_weight,0.1,0.1,true
WC2026-C29,S01_favorite_early_break_open,tactical_delta,0.3691,0.3691,true
WC2026-C29,S01_favorite_early_break_open,player_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,source_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,probability_context_delta,0.0415,0.0415,true
WC2026-C29,S01_favorite_early_break_open,weight,0.182266,0.182266,true
WC2026-C29,S01_favorite_early_break_open,final_weight_deprecated,0.182266,0.182266,true
WC2026-C29,S01_favorite_early_break_open,scenario_ranking_weight,0.182266,0.182266,true
WC2026-C29,S01_favorite_early_break_open,home_lambda_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,away_lambda_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,variance_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,over25_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,btts_delta,0,0,true
WC2026-C29,S01_favorite_early_break_open,htft_bias,胜/胜;负/负,胜/胜;负/负,true
WC2026-C29,S01_favorite_early_break_open,htft_bias_semantic,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,true
WC2026-C29,S01_favorite_early_break_open,score_family,2-0;3-0;3-1;4-1,2-0;3-0;3-1;4-1,true
WC2026-C29,S01_favorite_early_break_open,triggered_by,auto_matchup_features,auto_matchup_features,true
WC2026-C29,S01_favorite_early_break_open,evidence_summary,,,true
WC2026-C29,S01_favorite_early_break_open,weight_gates,{},{},true
WC2026-C29,S01_favorite_early_break_open,evidence_refs,,,true
WC2026-C29,S01_favorite_early_break_open,data_confidence,0.72,0.72,true
WC2026-C29,S01_favorite_early_break_open,is_fallback,false,false,true
WC2026-C29,S01_favorite_early_break_open,fallback_reason,,,true
WC2026-C29,S01_favorite_early_break_open,fallback_fields,,,true
WC2026-C29,S01_favorite_early_break_open,fallback_ratio,0,0,true
WC2026-C29,S01_favorite_early_break_open,fallback_confidence_cap,,,true
WC2026-C29,S01_favorite_early_break_open,precision_warning,,,true
WC2026-C29,S01_favorite_early_break_open,generated_at,2026-06-20T08:09:40.062697+00:00,2026-06-20T08:09:40.062697+00:00,true
WC2026-C29,S01_favorite_early_break_open,__row_hash__,b764f55bd089d7547bb8411e5e3f5f89ad60b73bb21da4a7eff4e5e4bfea45c0,b764f55bd089d7547bb8411e5e3f5f89ad60b73bb21da4a7eff4e5e4bfea45c0,true
WC2026-C29,S02_low_block_survival,match_id,WC2026-C29,WC2026-C29,true
WC2026-C29,S02_low_block_survival,home,Brazil,Brazil,true
WC2026-C29,S02_low_block_survival,away,Haiti,Haiti,true
WC2026-C29,S02_low_block_survival,scenario_id,S02_low_block_survival,S02_low_block_survival,true
WC2026-C29,S02_low_block_survival,scenario_name,弱队低位守住上半场，比分压低,弱队低位守住上半场，比分压低,true
WC2026-C29,S02_low_block_survival,raw_base_weight,0.1,0.1,true
WC2026-C29,S02_low_block_survival,raw_tactical_delta,-0.0224,-0.0224,true
WC2026-C29,S02_low_block_survival,raw_player_delta,0,0,true
WC2026-C29,S02_low_block_survival,raw_source_delta,0,0,true
WC2026-C29,S02_low_block_survival,raw_probability_context_delta,0,0,true
WC2026-C29,S02_low_block_survival,raw_total_score,0.0776,0.0776,true
WC2026-C29,S02_low_block_survival,normalized_weight,0.027717,0.027717,true
WC2026-C29,S02_low_block_survival,base_weight,0.1,0.1,true
WC2026-C29,S02_low_block_survival,tactical_delta,-0.0224,-0.0224,true
WC2026-C29,S02_low_block_survival,player_delta,0,0,true
WC2026-C29,S02_low_block_survival,source_delta,0,0,true
WC2026-C29,S02_low_block_survival,probability_context_delta,0,0,true
WC2026-C29,S02_low_block_survival,weight,0.027717,0.027717,true
WC2026-C29,S02_low_block_survival,final_weight_deprecated,0.027717,0.027717,true
WC2026-C29,S02_low_block_survival,scenario_ranking_weight,0.027717,0.027717,true
WC2026-C29,S02_low_block_survival,home_lambda_delta,0,0,true
WC2026-C29,S02_low_block_survival,away_lambda_delta,0,0,true
WC2026-C29,S02_low_block_survival,variance_delta,0,0,true
WC2026-C29,S02_low_block_survival,over25_delta,0,0,true
WC2026-C29,S02_low_block_survival,btts_delta,0,0,true
WC2026-C29,S02_low_block_survival,htft_bias,平/胜;平/平;平/负,平/胜;平/平;平/负,true
WC2026-C29,S02_low_block_survival,htft_bias_semantic,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,true
