snapshot_id,match_id,as_of_utc,kickoff_utc,home,away,home_points,away_points,home_rank,away_rank,home_path_state,away_path_state,home_must_win,away_must_win,home_state_reason_code,away_state_reason_code,home_draw_acceptance,away_draw_acceptance,home_goal_diff_chase,away_goal_diff_chase,home_rotation_risk,away_rotation_risk,mutual_draw_risk,late_chaos_risk,third_place_pressure_index,top_slot_chase_index,confidence,notes
WC2026_GROUP_20260622_POST_G40,WC2026-C49,2026-06-24T21:59:00Z,2026-06-24T22:00:00Z,Scotland,Brazil,3,4,3,1,third_place_bubble,top_slot_chase,false,false,R3_BEST_THIRD_GD_CHASE,FOUR_POINTS_NOT_CLINCHED,0.25,0.55,0.25,0.0,0.1,0.1,0.1,0.6,0.55,0.4,0.82,Scotland=third_place_bubble; Brazil=top_slot_chase; as_of=2026-06-24T21:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-C50,2026-06-24T21:59:00Z,2026-06-24T22:00:00Z,Morocco,Haiti,4,0,2,4,top_slot_chase,eliminated,false,false,FOUR_POINTS_NOT_CLINCHED,ELIMINATED_ALL_SCENARIOS,0.55,0.3,0.0,0.0,0.1,0.1,0.1,0.575,0.0,0.4,0.82,Morocco=top_slot_chase; Haiti=eliminated; as_of=2026-06-24T21:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-B51,2026-06-24T18:59:00Z,2026-06-24T19:00:00Z,Switzerland,Canada,4,4,2,1,near_clinched,near_clinched,false,false,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.75,0.75,0.0,0.0,0.55,0.55,0.35,0.25,0.0,0.0,0.82,Switzerland=near_clinched; Canada=near_clinched; as_of=2026-06-24T18:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-B52,2026-06-24T18:59:00Z,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,1,1,3,4,must_win,must_win,true,true,MUST_WIN_SURVIVAL,MUST_WIN_SURVIVAL,0.1,0.1,0.35,0.35,0.1,0.1,0.1,1.0,0.0,0.0,0.82,Bosnia and Herzegovina=must_win; Qatar=must_win; as_of=2026-06-24T18:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-A53,2026-06-25T00:59:00Z,2026-06-25T01:00:00Z,Czechia,Mexico,1,6,3,1,must_win,clinched_top2,true,false,MUST_WIN_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.1,0.75,0.35,0.0,0.1,0.55,0.1,0.825,0.0,0.0,0.82,Czechia=must_win; Mexico=clinched_top2; as_of=2026-06-25T00:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-A54,2026-06-25T00:59:00Z,2026-06-25T01:00:00Z,South Africa,South Korea,1,3,4,2,must_win,must_not_lose,true,false,MUST_WIN_SURVIVAL,R2_THREE_POINTS_DRAW_TO_FOUR,0.1,0.45,0.35,0.0,0.1,0.1,0.1,0.975,0.0,0.0,0.82,South Africa=must_win; South Korea=must_not_lose; as_of=2026-06-25T00:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-E55,2026-06-25T19:59:00Z,2026-06-25T20:00:00Z,Curacao,Ivory Coast,1,3,4,2,must_win,must_not_lose,true,false,MUST_WIN_SURVIVAL,R2_THREE_POINTS_DRAW_TO_FOUR,0.1,0.45,0.35,0.0,0.1,0.1,0.1,0.975,0.0,0.0,0.82,Curacao=must_win; Ivory Coast=must_not_lose; as_of=2026-06-25T19:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-E56,2026-06-25T19:59:00Z,2026-06-25T20:00:00Z,Ecuador,Germany,1,6,3,1,must_win,clinched_top2,true,false,MUST_WIN_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.1,0.75,0.35,0.0,0.1,0.55,0.1,0.825,0.0,0.0,0.82,Ecuador=must_win; Germany=clinched_top2; as_of=2026-06-25T19:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-F57,2026-06-25T22:59:00Z,2026-06-25T23:00:00Z,Japan,Sweden,4,3,2,3,top_slot_chase,third_place_bubble,false,false,FOUR_POINTS_NOT_CLINCHED,R3_BEST_THIRD_GD_CHASE,0.55,0.25,0.0,0.25,0.1,0.1,0.1,0.6,0.55,0.4,0.82,Japan=top_slot_chase; Sweden=third_place_bubble; as_of=2026-06-25T22:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-F58,2026-06-25T22:59:00Z,2026-06-25T23:00:00Z,Tunisia,Netherlands,0,4,4,1,eliminated,near_clinched,false,false,ELIMINATED_ALL_SCENARIOS,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.3,0.75,0.0,0.0,0.1,0.55,0.1,0.475,0.0,0.0,0.82,Tunisia=eliminated; Netherlands=near_clinched; as_of=2026-06-25T22:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260622_POST_G40,WC2026-D59,2026-06-26T01:59:00Z,2026-06-26T02:00:00Z,Turkey,USA,0,6,4,1,must_win_big,clinched_top2,true,false,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,0.1,0.75,0.7,0.0,0.1,0.55,0.1,0.825,0.0,0.0,0.82,Turkey=must_win_big; USA=clinched_top2; as_of=2026-06-26T01:59:00Z; fusion_effect=eventflow_delta_only
