match_id,source_type,title,notes,confidence,published_at,source_url
WC2026-C49,group_state,Group C advancement pressure,Scotland=third_place_bubble; Brazil=top_slot_chase; as_of=2026-06-24T21:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-C50,group_state,Group C advancement pressure,Morocco=top_slot_chase; Haiti=eliminated; as_of=2026-06-24T21:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-B51,group_state,Group B advancement pressure,Switzerland=near_clinched; Canada=near_clinched; as_of=2026-06-24T18:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-B52,group_state,Group B advancement pressure,Bosnia and Herzegovina=must_win; Qatar=must_win; as_of=2026-06-24T18:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-A53,group_state,Group A advancement pressure,Czechia=must_win; Mexico=clinched_top2; as_of=2026-06-25T00:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-A54,group_state,Group A advancement pressure,South Africa=must_win; South Korea=must_not_lose; as_of=2026-06-25T00:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-E55,group_state,Group E advancement pressure,Curacao=must_win; Ivory Coast=must_not_lose; as_of=2026-06-25T19:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-E56,group_state,Group E advancement pressure,Ecuador=must_win; Germany=clinched_top2; as_of=2026-06-25T19:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-F57,group_state,Group F advancement pressure,Japan=top_slot_chase; Sweden=third_place_bubble; as_of=2026-06-25T22:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-F58,group_state,Group F advancement pressure,Tunisia=eliminated; Netherlands=near_clinched; as_of=2026-06-25T22:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-D59,group_state,Group D advancement pressure,Turkey=must_win_big; USA=clinched_top2; as_of=2026-06-26T01:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-D60,group_state,Group D advancement pressure,Paraguay=third_place_bubble; Australia=must_not_lose; as_of=2026-06-26T01:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-I61,group_state,Group I advancement pressure,Norway=clinched_top2; France=clinched_top2; as_of=2026-06-26T18:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-I62,group_state,Group I advancement pressure,Senegal=must_win_big; Iraq=must_win_big; as_of=2026-06-26T18:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-G63,group_state,Group G advancement pressure,Egypt=top_slot_chase; Iran=control_destiny; as_of=2026-06-27T02:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-G64,group_state,Group G advancement pressure,New Zealand=must_win; Belgium=control_destiny; as_of=2026-06-27T02:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-H65,group_state,Group H advancement pressure,Cape Verde=control_destiny; Saudi Arabia=must_win; as_of=2026-06-26T23:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-H66,group_state,Group H advancement pressure,Uruguay=control_destiny; Spain=top_slot_chase; as_of=2026-06-26T23:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-L67,group_state,Group L advancement pressure,Panama=must_win; England=near_clinched; as_of=2026-06-27T20:59:00Z; fusion_effect=eventflow_delta_only,0.68,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-L68,group_state,Group L advancement pressure,Croatia=must_win; Ghana=near_clinched; as_of=2026-06-27T20:59:00Z; fusion_effect=eventflow_delta_only,0.68,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-J69,group_state,Group J advancement pressure,Algeria=third_place_bubble; Austria=must_not_lose; as_of=2026-06-28T01:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-J70,group_state,Group J advancement pressure,Jordan=must_win_big; Argentina=clinched_top2; as_of=2026-06-28T01:59:00Z; fusion_effect=eventflow_delta_only,0.82,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-K71,group_state,Group K advancement pressure,Colombia=control_destiny; Portugal=must_win; as_of=2026-06-27T23:29:00Z; fusion_effect=eventflow_delta_only,0.68,2026-06-23T04:00:00Z,internal_live_group_standings
WC2026-K72,group_state,Group K advancement pressure,DR Congo=must_win; Uzbekistan=must_win; as_of=2026-06-27T23:29:00Z; fusion_effect=eventflow_delta_only,0.68,2026-06-23T04:00:00Z,internal_live_group_standings
