snapshot_id,rank_3rd,group,team,points,gd,gf,conduct_score,fifa_rank,third_place_status,source_cutoff_time
WC2026_GROUP_20260620_PRE_F35,1,C,Scotland,3,0,1,-3,31,strong_position,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,2,D,Paraguay,3,-2,2,0,32,strong_position,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,3,F,Netherlands,1,0,2,-3,7,strong_position,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,4,K,Portugal,1,0,1,-3,6,strong_position,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,5,G,Belgium,1,0,1,-2,9,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,6,H,Spain,1,0,0,-1,8,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,7,A,Czechia,1,-1,2,0,35,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,8,B,Bosnia and Herzegovina,1,-3,2,-3,50,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,9,E,Ecuador,0,-1,0,0,22,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,10,L,Panama,0,-1,0,0,26,bubble,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,11,I,Senegal,0,-2,1,0,19,weak_position,2026-06-20T12:00:00Z
WC2026_GROUP_20260620_PRE_F35,12,J,Jordan,0,-2,1,0,59,weak_position,2026-06-20T12:00:00Z
